time_s,body_name,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,roll_rad,pitch_rad,yaw_rad,contact_force_N,source
0.280,component_demo_rover,-2.47256,0.03638,0.25000,0.19600,0.12579,0.00000,0.00000,0.00000,0.01070,0.00000,fallback_pychrono_unavailable
0.300,component_demo_rover,-2.46850,0.03889,0.25000,0.21000,0.12488,0.00000,0.00000,0.00000,0.01142,0.00000,fallback_pychrono_unavailable
0.320,component_demo_rover,-2.46416,0.04137,0.25000,0.22400,0.12391,0.00000,0.00000,0.00000,0.01213,0.00000,fallback_pychrono_unavailable
0.340,component_demo_rover,-2.45954,0.04384,0.25000,0.23800,0.12288,0.00000,0.00000,0.00000,0.01283,0.00000,fallback_pychrono_unavailable
0.360,component_demo_rover,-2.45464,0.04629,0.25000,0.25200,0.12178,0.00000,0.00000,0.00000,0.01352,0.00000,fallback_pychrono_unavailable
0.380,component_demo_rover,-2.44946,0.04871,0.25000,0.26600,0.12064,0.00000,0.00000,0.00000,0.01420,0.00000,fallback_pychrono_unavailable
0.400,component_demo_rover,-2.44400,0.05111,0.25000,0.28000,0.11943,0.00000,0.00000,0.00000,0.01487,0.00000,fallback_pychrono_unavailable
0.420,component_demo_rover,-2.43826,0.05349,0.25000,0.29400,0.11816,0.00000,0.00000,0.00000,0.01553,0.00000,fallback_pychrono_unavailable
0.440,component_demo_rover,-2.43224,0.05584,0.25000,0.30800,0.11684,0.00000,0.00000,0.00000,0.01618,0.00000,fallback_pychrono_unavailable
0.460,component_demo_rover,-2.42594,0.05816,0.25000,0.32200,0.11546,0.00000,0.00000,0.00000,0.01681,0.00000,fallback_pychrono_unavailable
0.480,component_demo_rover,-2.41936,0.06046,0.25000,0.33600,0.11402,0.00000,0.00000,0.00000,0.01743,0.00000,fallback_pychrono_unavailable
0.500,component_demo_rover,-2.41250,0.06272,0.25000,0.35000,0.11253,0.00000,0.00000,0.00000,0.01804,0.00000,fallback_pychrono_unavailable
0.520,component_demo_rover,-2.40536,0.06496,0.25000,0.36400,0.11099,0.00000,0.00000,0.00000,0.01863,0.00000,fallback_pychrono_unavailable
0.540,component_demo_rover,-2.39794,0.06716,0.25000,0.37800,0.10939,0.00000,0.00000,0.00000,0.01921,0.00000,fallback_pychrono_unavailable
0.560,component_demo_rover,-2.39024,0.06933,0.25000,0.39200,0.10774,0.00000,0.00000,0.00000,0.01977,0.00000,fallback_pychrono_unavailable
0.580,component_demo_rover,-2.38226,0.07147,0.25000,0.40600,0.10603,0.00000,0.00000,0.00000,0.02032,0.00000,fallback_pychrono_unavailable
0.600,component_demo_rover,-2.37400,0.07357,0.25000,0.42000,0.10428,0.00000,0.00000,0.00000,0.02085,0.00000,fallback_pychrono_unavailable
0.620,component_demo_rover,-2.36546,0.07564,0.25000,0.43400,0.10247,0.00000,0.00000,0.00000,0.02137,0.00000,fallback_pychrono_unavailable
0.640,component_demo_rover,-2.35664,0.07767,0.25000,0.44800,0.10062,0.00000,0.00000,0.00000,0.02186,0.00000,fallback_pychrono_unavailable
0.660,component_demo_rover,-2.34754,0.07967,0.25000,0.46200,0.09871,0.00000,0.00000,0.00000,0.02234,0.00000,fallback_pychrono_unavailable
0.680,component_demo_rover,-2.33816,0.08162,0.25000,0.47600,0.09676,0.00000,0.00000,0.00000,0.02281,0.00000,fallback_pychrono_unavailable
0.700,component_demo_rover,-2.32850,0.08354,0.25000,0.49000,0.09476,0.00000,0.00000,0.00000,0.02325,0.00000,fallback_pychrono_unavailable
0.720,component_demo_rover,-2.31856,0.08541,0.25000,0.50400,0.09272,0.00000,0.00000,0.00000,0.02368,0.00000,fallback_pychrono_unavailable
0.740,component_demo_rover,-2.30834,0.08724,0.25000,0.51800,0.09063,0.00000,0.00000,0.00000,0.02409,0.00000,fallback_pychrono_unavailable
0.760,component_demo_rover,-2.29784,0.08904,0.25000,0.53200,0.08850,0.00000,0.00000,0.00000,0.02448,0.00000,fallback_pychrono_unavailable
0.780,component_demo_rover,-2.28706,0.09078,0.25000,0.54600,0.08632,0.00000,0.00000,0.00000,0.02485,0.00000,fallback_pychrono_unavailable
0.800,component_demo_rover,-2.27600,0.09249,0.25000,0.56000,0.08410,0.00000,0.00000,0.00000,0.02520,0.00000,fallback_pychrono_unavailable
0.820,component_demo_rover,-2.26466,0.09415,0.25000,0.57400,0.08185,0.00000,0.00000,0.00000,0.02553,0.00000,fallback_pychrono_unavailable
0.840,component_demo_rover,-2.25304,0.09576,0.25000,0.58800,0.07955,0.00000,0.00000,0.00000,0.02585,0.00000,fallback_pychrono_unavailable
0.860,component_demo_rover,-2.24114,0.09733,0.25000,0.60200,0.07721,0.00000,0.00000,0.00000,0.02614,0.00000,fallback_pychrono_unavailable
0.880,component_demo_rover,-2.22896,0.09885,0.25000,0.61600,0.07484,0.00000,0.00000,0.00000,0.02641,0.00000,fallback_pychrono_unavailable
0.900,component_demo_rover,-2.21650,0.10032,0.25000,0.63000,0.07243,0.00000,0.00000,0.00000,0.02666,0.00000,fallback_pychrono_unavailable
0.920,component_demo_rover,-2.20376,0.10175,0.25000,0.64400,0.06998,0.00000,0.00000,0.00000,0.02689,0.00000,fallback_pychrono_unavailable
0.940,component_demo_rover,-2.19074,0.10312,0.25000,0.65800,0.06750,0.00000,0.00000,0.00000,0.02710,0.00000,fallback_pychrono_unavailable
0.960,component_demo_rover,-2.17744,0.10445,0.25000,0.67200,0.06499,0.00000,0.00000,0.00000,0.02728,0.00000,fallback_pychrono_unavailable
0.980,component_demo_rover,-2.16386,0.10572,0.25000,0.68600,0.06245,0.00000,0.00000,0.00000,0.02745,0.00000,fallback_pychrono_unavailable
1.000,component_demo_rover,-2.15000,0.10694,0.25000,0.70000,0.05987,0.00000,0.00000,0.00000,0.02759,0.00000,fallback_pychrono_unavailable
1.020,component_demo_rover,-2.13586,0.10812,0.25000,0.71400,0.05727,0.00000,0.00000,0.00000,0.02772,0.00000,fallback_pychrono_unavailable
1.040,component_demo_rover,-2.12144,0.10924,0.25000,0.72800,0.05464,0.00000,0.00000,0.00000,0.02782,0.00000,fallback_pychrono_unavailable
1.060,component_demo_rover,-2.10674,0.11030,0.25000,0.74200,0.05199,0.00000,0.00000,0.00000,0.02789,0.00000,fallback_pychrono_unavailable
1.080,component_demo_rover,-2.09176,0.11131,0.25000,0.75600,0.04930,0.00000,0.00000,0.00000,0.02795,0.00000,fallback_pychrono_unavailable
1.100,component_demo_rover,-2.07650,0.11227,0.25000,0.77000,0.04660,0.00000,0.00000,0.00000,0.02799,0.00000,fallback_pychrono_unavailable
1.120,component_demo_rover,-2.06096,0.11318,0.25000,0.78400,0.04387,0.00000,0.00000,0.00000,0.02800,0.00000,fallback_pychrono_unavailable
1.140,component_demo_rover,-2.04514,0.11403,0.25000,0.79800,0.04112,0.00000,0.00000,0.00000,0.02799,0.00000,fallback_pychrono_unavailable
1.160,component_demo_rover,-2.02904,0.11482,0.25000,0.81200,0.03835,0.00000,0.00000,0.00000,0.02796,0.00000,fallback_pychrono_unavailable
1.180,component_demo_rover,-2.01266,0.11556,0.25000,0.82600,0.03556,0.00000,0.00000,0.00000,0.02791,0.00000,fallback_pychrono_unavailable
1.200,component_demo_rover,-1.99600,0.11625,0.25000,0.84000,0.03276,0.00000,0.00000,0.00000,0.02783,0.00000,fallback_pychrono_unavailable
1.220,component_demo_rover,-1.97906,0.11687,0.25000,0.85400,0.02994,0.00000,0.00000,0.00000,0.02774,0.00000,fallback_pychrono_unavailable
1.240,component_demo_rover,-1.96184,0.11744,0.25000,0.86800,0.02710,0.00000,0.00000,0.00000,0.02762,0.00000,fallback_pychrono_unavailable
1.260,component_demo_rover,-1.94434,0.11796,0.25000,0.88200,0.02425,0.00000,0.00000,0.00000,0.02748,0.00000,fallback_pychrono_unavailable
1.280,component_demo_rover,-1.92656,0.11841,0.25000,0.89600,0.02139,0.00000,0.00000,0.00000,0.02732,0.00000,fallback_pychrono_unavailable
1.300,component_demo_rover,-1.90850,0.11881,0.25000,0.91000,0.01852,0.00000,0.00000,0.00000,0.02714,0.00000,fallback_pychrono_unavailable
1.320,component_demo_rover,-1.89016,0.11915,0.25000,0.92400,0.01564,0.00000,0.00000,0.00000,0.02693,0.00000,fallback_pychrono_unavailable
1.340,component_demo_rover,-1.87154,0.11944,0.25000,0.93800,0.01276,0.00000,0.00000,0.00000,0.02671,0.00000,fallback_pychrono_unavailable
1.360,component_demo_rover,-1.85264,0.11966,0.25000,0.95200,0.00986,0.00000,0.00000,0.00000,0.02646,0.00000,fallback_pychrono_unavailable
1.380,component_demo_rover,-1.83346,0.11983,0.25000,0.96600,0.00697,0.00000,0.00000,0.00000,0.02619,0.00000,fallback_pychrono_unavailable
1.400,component_demo_rover,-1.81400,0.11994,0.25000,0.98000,0.00406,0.00000,0.00000,0.00000,0.02591,0.00000,fallback_pychrono_unavailable
1.420,component_demo_rover,-1.79426,0.12000,0.25000,0.99400,0.00116,0.00000,0.00000,0.00000,0.02560,0.00000,fallback_pychrono_unavailable
1.440,component_demo_rover,-1.77424,0.11999,0.25000,1.00800,-0.00174,0.00000,0.00000,0.00000,0.02527,0.00000,fallback_pychrono_unavailable
1.460,component_demo_rover,-1.75394,0.11993,0.25000,1.02200,-0.00465,0.00000,0.00000,0.00000,0.02492,0.00000,fallback_pychrono_unavailable
1.480,component_demo_rover,-1.73336,0.11980,0.25000,1.03600,-0.00755,0.00000,0.00000,0.00000,0.02456,0.00000,fallback_pychrono_unavailable
1.500,component_demo_rover,-1.71250,0.11962,0.25000,1.05000,-0.01044,0.00000,0.00000,0.00000,0.02417,0.00000,fallback_pychrono_unavailable
1.520,component_demo_rover,-1.69136,0.11939,0.25000,1.06400,-0.01334,0.00000,0.00000,0.00000,0.02376,0.00000,fallback_pychrono_unavailable
1.540,component_demo_rover,-1.66994,0.11909,0.25000,1.07800,-0.01622,0.00000,0.00000,0.00000,0.02334,0.00000,fallback_pychrono_unavailable
1.560,component_demo_rover,-1.64824,0.11874,0.25000,1.09200,-0.01910,0.00000,0.00000,0.00000,0.02290,0.00000,fallback_pychrono_unavailable
1.580,component_demo_rover,-1.62626,0.11833,0.25000,1.10600,-0.02197,0.00000,0.00000,0.00000,0.02244,0.00000,fallback_pychrono_unavailable
1.600,component_demo_rover,-1.60400,0.11786,0.25000,1.12000,-0.02483,0.00000,0.00000,0.00000,0.02196,0.00000,fallback_pychrono_unavailable
1.620,component_demo_rover,-1.58146,0.11733,0.25000,1.13400,-0.02767,0.00000,0.00000,0.00000,0.02147,0.00000,fallback_pychrono_unavailable
1.640,component_demo_rover,-1.55864,0.11675,0.25000,1.14800,-0.03050,0.00000,0.00000,0.00000,0.02095,0.00000,fallback_pychrono_unavailable
1.660,component_demo_rover,-1.53554,0.11611,0.25000,1.16200,-0.03332,0.00000,0.00000,0.00000,0.02043,0.00000,fallback_pychrono_unavailable
1.680,component_demo_rover,-1.51216,0.11542,0.25000,1.17600,-0.03612,0.00000,0.00000,0.00000,0.01988,0.00000,fallback_pychrono_unavailable
1.700,component_demo_rover,-1.48850,0.11467,0.25000,1.19000,-0.03891,0.00000,0.00000,0.00000,0.01932,0.00000,fallback_pychrono_unavailable
1.720,component_demo_rover,-1.46456,0.11386,0.25000,1.20400,-0.04167,0.00000,0.00000,0.00000,0.01875,0.00000,fallback_pychrono_unavailable
1.740,component_demo_rover,-1.44034,0.11300,0.25000,1.21800,-0.04442,0.00000,0.00000,0.00000,0.01816,0.00000,fallback_pychrono_unavailable
1.760,component_demo_rover,-1.41584,0.11209,0.25000,1.23200,-0.04714,0.00000,0.00000,0.00000,0.01755,0.00000,fallback_pychrono_unavailable
1.780,component_demo_rover,-1.39106,0.11112,0.25000,1.24600,-0.04984,0.00000,0.00000,0.00000,0.01694,0.00000,fallback_pychrono_unavailable
1.800,component_demo_rover,-1.36600,0.11009,0.25000,1.26000,-0.05252,0.00000,0.00000,0.00000,0.01631,0.00000,fallback_pychrono_unavailable
1.820,component_demo_rover,-1.34066,0.10902,0.25000,1.27400,-0.05517,0.00000,0.00000,0.00000,0.01566,0.00000,fallback_pychrono_unavailable
1.840,component_demo_rover,-1.31504,0.10789,0.25000,1.28800,-0.05780,0.00000,0.00000,0.00000,0.01501,0.00000,fallback_pychrono_unavailable
1.860,component_demo_rover,-1.28914,0.10670,0.25000,1.30200,-0.06039,0.00000,0.00000,0.00000,0.01434,0.00000,fallback_pychrono_unavailable
1.880,component_demo_rover,-1.26296,0.10547,0.25000,1.31600,-0.06296,0.00000,0.00000,0.00000,0.01366,0.00000,fallback_pychrono_unavailable
1.900,component_demo_rover,-1.23650,0.10419,0.25000,1.33000,-0.06550,0.00000,0.00000,0.00000,0.01297,0.00000,fallback_pychrono_unavailable
1.920,component_demo_rover,-1.20976,0.10285,0.25000,1.34400,-0.06800,0.00000,0.00000,0.00000,0.01227,0.00000,fallback_pychrono_unavailable
1.940,component_demo_rover,-1.18274,0.10147,0.25000,1.35800,-0.07047,0.00000,0.00000,0.00000,0.01156,0.00000,fallback_pychrono_unavailable
1.960,component_demo_rover,-1.15544,0.10003,0.25000,1.37200,-0.07291,0.00000,0.00000,0.00000,0.01084,0.00000,fallback_pychrono_unavailable
1.980,component_demo_rover,-1.12786,0.09855,0.25000,1.38600,-0.07532,0.00000,0.00000,0.00000,0.01011,0.00000,fallback_pychrono_unavailable
2.000,component_demo_rover,-1.10000,0.09702,0.25000,1.40000,-0.07768,0.00000,0.00000,0.00000,0.00938,0.00000,fallback_pychrono_unavailable
2.020,component_demo_rover,-1.07186,0.09544,0.25000,1.41400,-0.08001,0.00000,0.00000,0.00000,0.00864,0.00000,fallback_pychrono_unavailable
2.040,component_demo_rover,-1.04344,0.09382,0.25000,1.42800,-0.08230,0.00000,0.00000,0.00000,0.00789,0.00000,fallback_pychrono_unavailable
2.060,component_demo_rover,-1.01474,0.09215,0.25000,1.44200,-0.08455,0.00000,0.00000,0.00000,0.00713,0.00000,fallback_pychrono_unavailable
2.080,component_demo_rover,-0.98576,0.09044,0.25000,1.45600,-0.08676,0.00000,0.00000,0.00000,0.00637,0.00000,fallback_pychrono_unavailable
2.100,component_demo_rover,-0.95650,0.08868,0.25000,1.47000,-0.08893,0.00000,0.00000,0.00000,0.00561,0.00000,fallback_pychrono_unavailable
2.120,component_demo_rover,-0.92696,0.08688,0.25000,1.48400,-0.09105,0.00000,0.00000,0.00000,0.00484,0.00000,fallback_pychrono_unavailable
2.140,component_demo_rover,-0.89714,0.08504,0.25000,1.49800,-0.09313,0.00000,0.00000,0.00000,0.00406,0.00000,fallback_pychrono_unavailable
2.160,component_demo_rover,-0.86704,0.08316,0.25000,1.51200,-0.09517,0.00000,0.00000,0.00000,0.00329,0.00000,fallback_pychrono_unavailable
2.180,component_demo_rover,-0.83666,0.08123,0.25000,1.52600,-0.09716,0.00000,0.00000,0.00000,0.00251,0.00000,fallback_pychrono_unavailable
2.200,component_demo_rover,-0.80600,0.07927,0.25000,1.54000,-0.09910,0.00000,0.00000,0.00000,0.00172,0.00000,fallback_pychrono_unavailable
2.220,component_demo_rover,-0.77506,0.07727,0.25000,1.55400,-0.10099,0.00000,0.00000,0.00000,0.00094,0.00000,fallback_pychrono_unavailable
2.240,component_demo_rover,-0.74384,0.07523,0.25000,1.56800,-0.10284,0.00000,0.00000,0.00000,0.00016,0.00000,fallback_pychrono_unavailable
2.260,component_demo_rover,-0.71234,0.07316,0.25000,1.58200,-0.10463,0.00000,0.00000,0.00000,-0.00063,0.00000,fallback_pychrono_unavailable
2.280,component_demo_rover,-0.68056,0.07105,0.25000,1.59600,-0.10638,0.00000,0.00000,0.00000,-0.00141,0.00000,fallback_pychrono_unavailable
2.300,component_demo_rover,-0.64850,0.06890,0.25000,1.61000,-0.10807,0.00000,0.00000,0.00000,-0.00219,0.00000,fallback_pychrono_unavailable
2.320,component_demo_rover,-0.61616,0.06672,0.25000,1.62400,-0.10971,0.00000,0.00000,0.00000,-0.00297,0.00000,fallback_pychrono_unavailable
2.340,component_demo_rover,-0.58354,0.06451,0.25000,1.63800,-0.11130,0.00000,0.00000,0.00000,-0.00375,0.00000,fallback_pychrono_unavailable
2.360,component_demo_rover,-0.55064,0.06227,0.25000,1.65200,-0.11284,0.00000,0.00000,0.00000,-0.00453,0.00000,fallback_pychrono_unavailable
2.380,component_demo_rover,-0.51746,0.06000,0.25000,1.66600,-0.11432,0.00000,0.00000,0.00000,-0.00530,0.00000,fallback_pychrono_unavailable
2.400,component_demo_rover,-0.48400,0.05770,0.25000,1.68000,-0.11574,0.00000,0.00000,0.00000,-0.00607,0.00000,fallback_pychrono_unavailable
2.420,component_demo_rover,-0.45026,0.05537,0.25000,1.69400,-0.11711,0.00000,0.00000,0.00000,-0.00683,0.00000,fallback_pychrono_unavailable
2.440,component_demo_rover,-0.41624,0.05301,0.25000,1.70800,-0.11842,0.00000,0.00000,0.00000,-0.00759,0.00000,fallback_pychrono_unavailable
2.460,component_demo_rover,-0.38194,0.05063,0.25000,1.72200,-0.11967,0.00000,0.00000,0.00000,-0.00834,0.00000,fallback_pychrono_unavailable
2.480,component_demo_rover,-0.34736,0.04823,0.25000,1.73600,-0.12087,0.00000,0.00000,0.00000,-0.00908,0.00000,fallback_pychrono_unavailable
2.500,component_demo_rover,-0.31250,0.04580,0.25000,1.75000,-0.12201,0.00000,0.00000,0.00000,-0.00982,0.00000,fallback_pychrono_unavailable
2.520,component_demo_rover,-0.27736,0.04335,0.25000,1.76400,-0.12309,0.00000,0.00000,0.00000,-0.01055,0.00000,fallback_pychrono_unavailable
2.540,component_demo_rover,-0.24194,0.04088,0.25000,1.77800,-0.12411,0.00000,0.00000,0.00000,-0.01127,0.00000,fallback_pychrono_unavailable
2.560,component_demo_rover,-0.20624,0.03838,0.25000,1.79200,-0.12506,0.00000,0.00000,0.00000,-0.01199,0.00000,fallback_pychrono_unavailable
2.580,component_demo_rover,-0.17026,0.03587,0.25000,1.80600,-0.12596,0.00000,0.00000,0.00000,-0.01269,0.00000,fallback_pychrono_unavailable
2.600,component_demo_rover,-0.13400,0.03335,0.25000,1.82000,-0.12680,0.00000,0.00000,0.00000,-0.01338,0.00000,fallback_pychrono_unavailable
2.620,component_demo_rover,-0.09746,0.03080,0.25000,1.83400,-0.12758,0.00000,0.00000,0.00000,-0.01407,0.00000,fallback_pychrono_unavailable
2.640,component_demo_rover,-0.06064,0.02824,0.25000,1.84800,-0.12829,0.00000,0.00000,0.00000,-0.01474,0.00000,fallback_pychrono_unavailable
2.660,component_demo_rover,-0.02354,0.02567,0.25000,1.86200,-0.12894,0.00000,0.00000,0.00000,-0.01540,0.00000,fallback_pychrono_unavailable
2.680,component_demo_rover,0.01384,0.02309,0.25000,1.87600,-0.12953,0.00000,0.00000,0.00000,-0.01605,0.00000,fallback_pychrono_unavailable
2.700,component_demo_rover,0.05150,0.02049,0.25000,1.89000,-0.13006,0.00000,0.00000,0.00000,-0.01669,0.00000,fallback_pychrono_unavailable
2.720,component_demo_rover,0.08944,0.01788,0.25000,1.90400,-0.13053,0.00000,0.00000,0.00000,-0.01731,0.00000,fallback_pychrono_unavailable
2.740,component_demo_rover,0.12766,0.01527,0.25000,1.91800,-0.13093,0.00000,0.00000,0.00000,-0.01792,0.00000,fallback_pychrono_unavailable
2.760,component_demo_rover,0.16616,0.01265,0.25000,1.93200,-0.13126,0.00000,0.00000,0.00000,-0.01851,0.00000,fallback_pychrono_unavailable
2.780,component_demo_rover,0.20494,0.01002,0.25000,1.94600,-0.13154,0.00000,0.00000,0.00000,-0.01909,0.00000,fallback_pychrono_unavailable
2.800,component_demo_rover,0.24400,0.00739,0.25000,1.96000,-0.13175,0.00000,0.00000,0.00000,-0.01966,0.00000,fallback_pychrono_unavailable
2.820,component_demo_rover,0.28334,0.00475,0.25000,1.97400,-0.13190,0.00000,0.00000,0.00000,-0.02021,0.00000,fallback_pychrono_unavailable
2.840,component_demo_rover,0.32296,0.00211,0.25000,1.98800,-0.13198,0.00000,0.00000,0.00000,-0.02075,0.00000,fallback_pychrono_unavailable
2.860,component_demo_rover,0.36286,-0.00053,0.25000,2.00200,-0.13200,0.00000,0.00000,0.00000,-0.02126,0.00000,fallback_pychrono_unavailable
2.880,component_demo_rover,0.40304,-0.00317,0.25000,2.01600,-0.13195,0.00000,0.00000,0.00000,-0.02177,0.00000,fallback_pychrono_unavailable
2.900,component_demo_rover,0.44350,-0.00581,0.25000,2.03000,-0.13185,0.00000,0.00000,0.00000,-0.02225,0.00000,fallback_pychrono_unavailable
2.920,component_demo_rover,0.48424,-0.00844,0.25000,2.04400,-0.13167,0.00000,0.00000,0.00000,-0.02272,0.00000,fallback_pychrono_unavailable
2.940,component_demo_rover,0.52526,-0.01107,0.25000,2.05800,-0.13144,0.00000,0.00000,0.00000,-0.02317,0.00000,fallback_pychrono_unavailable
2.960,component_demo_rover,0.56656,-0.01370,0.25000,2.07200,-0.13114,0.00000,0.00000,0.00000,-0.02360,0.00000,fallback_pychrono_unavailable
2.980,component_demo_rover,0.60814,-0.01632,0.25000,2.08600,-0.13077,0.00000,0.00000,0.00000,-0.02401,0.00000,fallback_pychrono_unavailable
3.000,component_demo_rover,0.65000,-0.01893,0.25000,2.10000,-0.13035,0.00000,0.00000,0.00000,-0.02440,0.00000,fallback_pychrono_unavailable
