schema_id,run_id,artifact_path,source_schema_id,clock_source,has_time_s,has_step_index,index_column,row_count,time_start_s,time_end_s,sample_period_s,sample_period_index,alignment_key,dropped_sample_policy,resampling_policy,source
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/environment_terrain_height_friction_sinkage.csv,terrain.surface_probe.v1,"surface/sample index, no simulation clock",false,false,sample_index,2501,,,,1 sample index,run_id + scenario_id + sample_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,fallback_pychrono_unavailable
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/rover_vehicle_chassis_probe.csv,rover.chassis_smoke_probe.v0,ChSystem::GetChTime or deterministic fallback time_s,true,true,step_index,201,0,2,0.01,,run_id + scenario_id + step_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,deterministic_chassis_probe_pychrono_unavailable
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/scm_soil_profile_manifest.csv,terrain.scm_soil_profile_manifest.v1,"surface/sample index, no simulation clock",false,false,,1,,,,,run_id + scenario_id + sample_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,fallback_terrain_schema_only_pychrono_unavailable
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/sensor_filter_catalog.csv,sensor.filter_catalog.v1,"surface/sample index, no simulation clock",false,false,,11,,,,,run_id + scenario_id + sample_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,fallback_sensor_schema_only_pychrono_sensor_unavailable
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/sensor_manifest.csv,sensor.output_manifest.v1,ChSystem::GetChTime or deterministic fallback time_s,true,false,time_s,4,0,0,0,,run_id + scenario_id + sample_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,fallback_sensor_schema_only_pychrono_sensor_unavailable
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/sensor_timing_schedule.csv,sensor.timing_schedule.v1,"surface/sample index, no simulation clock",false,false,,24,,,,,run_id + scenario_id + sample_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,fallback_sensor_schema_only_pychrono_sensor_unavailable
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/terrain_material_region_map.csv,terrain.material_region_map.v1,"surface/sample index, no simulation clock",false,false,,3,,,,,run_id + scenario_id + sample_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,fallback_terrain_schema_only_pychrono_unavailable
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/terrain_patch_manifest.csv,terrain.patch_manifest.v1,"surface/sample index, no simulation clock",false,false,,3,,,,,run_id + scenario_id + sample_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,fallback_terrain_schema_only_pychrono_unavailable
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/terrain_query_probe.csv,terrain.query_probe.v1,"surface/sample index, no simulation clock",false,false,sample_index,2501,,,,1 sample index,run_id + scenario_id + sample_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,fallback_pychrono_unavailable
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/terrain_surface_probe.csv,terrain.surface_probe.v1,"surface/sample index, no simulation clock",false,false,sample_index,2501,,,,1 sample index,run_id + scenario_id + sample_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,fallback_pychrono_unavailable
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/vehicle_axle_wheel_map.csv,vehicle.axle_wheel_map.v1,"surface/sample index, no simulation clock",false,false,,4,,,,,run_id + scenario_id + sample_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,fallback_vehicle_schema_only_pychrono_unavailable
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/vehicle_frame_hardpoint_map.csv,vehicle.frame_hardpoint_map.v1,"surface/sample index, no simulation clock",false,false,,7,,,,,run_id + scenario_id + sample_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,fallback_vehicle_schema_only_pychrono_unavailable
data.logger_timebase_manifest.v1,component_catalog_fallback_bundle,outputs/csv/vehicle_subsystem_probe.csv,vehicle.subsystem_probe.v1,ChSystem::GetChTime or deterministic fallback time_s,true,true,step_index,101,0,2,0.02,,run_id + scenario_id + step_index,not simulated in fallback bundle; live runs must mark dropped_sample/drop_reason,raw rows,fallback_vehicle_schema_only_pychrono_unavailable
