run_id,schema_id,scenario_id,sample_index,terrain_component_id,terrain_type,x_m,y_m,height_m,normal_x,normal_y,normal_z,terrain_mu_query,contact_material_mu,sinkage_m,estimated_friction,scm_sinkage_demo_m,source
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,12,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,-0.800,0.03367,-0.04948,-0.09680,0.99407,0.5960,0.5960,0.00003,0.5960,0.00003,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,13,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,-0.700,0.04304,-0.06325,-0.08931,0.99399,0.5893,0.5893,0.00004,0.5893,0.00004,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,14,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,-0.600,0.05158,-0.07579,-0.08007,0.99390,0.5832,0.5832,0.00006,0.5832,0.00006,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,15,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,-0.500,0.05910,-0.08684,-0.06926,0.99381,0.5778,0.5778,0.00008,0.5778,0.00008,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,16,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,-0.400,0.06547,-0.09619,-0.05711,0.99372,0.5732,0.5732,0.00011,0.5732,0.00011,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,17,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,-0.300,0.07056,-0.10365,-0.04383,0.99365,0.5696,0.5696,0.00013,0.5696,0.00013,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,18,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,-0.200,0.07427,-0.10909,-0.02971,0.99359,0.5670,0.5670,0.00015,0.5670,0.00015,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,19,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,-0.100,0.07652,-0.11240,-0.01500,0.99355,0.5653,0.5653,0.00017,0.5653,0.00017,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,20,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,0.000,0.07728,-0.11351,0.00000,0.99354,0.5648,0.5648,0.00017,0.5648,0.00017,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,21,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,0.100,0.07652,-0.11240,0.01500,0.99355,0.5653,0.5653,0.00017,0.5653,0.00017,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,22,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,0.200,0.07427,-0.10909,0.02971,0.99359,0.5670,0.5670,0.00015,0.5670,0.00015,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,23,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,0.300,0.07056,-0.10365,0.04383,0.99365,0.5696,0.5696,0.00013,0.5696,0.00013,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,24,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,0.400,0.06547,-0.09619,0.05711,0.99372,0.5732,0.5732,0.00011,0.5732,0.00011,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,25,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,0.500,0.05910,-0.08684,0.06926,0.99381,0.5778,0.5778,0.00008,0.5778,0.00008,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,26,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,0.600,0.05158,-0.07579,0.08007,0.99390,0.5832,0.5832,0.00006,0.5832,0.00006,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,27,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,0.700,0.04304,-0.06325,0.08931,0.99399,0.5893,0.5893,0.00004,0.5893,0.00004,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,28,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,0.800,0.03367,-0.04948,0.09680,0.99407,0.5960,0.5960,0.00003,0.5960,0.00003,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,29,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,0.900,0.02363,-0.03473,0.10240,0.99414,0.6031,0.6031,0.00002,0.6031,0.00002,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,30,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,1.000,0.01313,-0.01930,0.10599,0.99418,0.6106,0.6106,0.00001,0.6106,0.00001,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,31,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,1.100,0.00238,-0.00350,0.10751,0.99420,0.6183,0.6183,0.00001,0.6183,0.00001,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,32,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,1.200,-0.00842,0.01238,0.10692,0.99419,0.6140,0.6140,0.00000,0.6140,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,33,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,1.300,-0.01906,0.02801,0.10423,0.99416,0.6064,0.6064,0.00000,0.6064,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,34,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,1.400,-0.02932,0.04309,0.09951,0.99410,0.5991,0.5991,0.00000,0.5991,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,35,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,1.500,-0.03901,0.05733,0.09283,0.99403,0.5921,0.5921,0.00000,0.5921,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,36,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,1.600,-0.04794,0.07044,0.08434,0.99394,0.5858,0.5858,0.00000,0.5858,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,37,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,1.700,-0.05593,0.08217,0.07420,0.99385,0.5801,0.5801,0.00000,0.5801,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,38,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,1.800,-0.06282,0.09230,0.06261,0.99376,0.5751,0.5751,0.00000,0.5751,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,39,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,1.900,-0.06849,0.10061,0.04979,0.99368,0.5711,0.5711,0.00000,0.5711,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,40,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-3.000,2.000,-0.07281,0.10696,0.03601,0.99361,0.5680,0.5680,0.00000,0.5680,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,41,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,-2.000,-0.08234,0.08209,-0.04081,0.99579,0.5612,0.5612,0.00000,0.5612,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,42,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,-1.900,-0.07745,0.07719,-0.05641,0.99542,0.5647,0.5647,0.00000,0.5647,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,43,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,-1.800,-0.07104,0.07077,-0.07089,0.99497,0.5693,0.5693,0.00000,0.5693,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,44,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,-1.700,-0.06325,0.06297,-0.08396,0.99448,0.5748,0.5748,0.00000,0.5748,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,45,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,-1.600,-0.05421,0.05395,-0.09538,0.99398,0.5813,0.5813,0.00000,0.5813,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,46,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,-1.500,-0.04412,0.04389,-0.10493,0.99351,0.5885,0.5885,0.00000,0.5885,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,47,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,-1.400,-0.03316,0.03297,-0.11242,0.99311,0.5963,0.5963,0.00000,0.5963,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,48,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,-1.300,-0.02155,0.02142,-0.11772,0.99282,0.6046,0.6046,0.00000,0.6046,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,49,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,-1.200,-0.00952,0.00947,-0.12072,0.99264,0.6132,0.6132,0.00000,0.6132,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,50,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,-1.100,0.00269,-0.00267,-0.12138,0.99260,0.6181,0.6181,0.00001,0.6181,0.00001,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,51,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,-1.000,0.01485,-0.01476,-0.11969,0.99270,0.6094,0.6094,0.00002,0.6094,0.00002,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,52,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,-0.900,0.02673,-0.02657,-0.11566,0.99293,0.6009,0.6009,0.00003,0.6009,0.00003,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,53,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,-0.800,0.03807,-0.03786,-0.10938,0.99328,0.5928,0.5928,0.00004,0.5928,0.00004,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,54,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,-0.700,0.04868,-0.04843,-0.10097,0.99371,0.5852,0.5852,0.00007,0.5852,0.00007,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,55,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,-0.600,0.05833,-0.05806,-0.09058,0.99420,0.5783,0.5783,0.00009,0.5783,0.00009,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,56,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,-0.500,0.06684,-0.06657,-0.07840,0.99470,0.5723,0.5723,0.00013,0.5723,0.00013,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,57,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,-0.400,0.07404,-0.07377,-0.06468,0.99518,0.5671,0.5671,0.00017,0.5671,0.00017,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,58,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,-0.300,0.07980,-0.07954,-0.04967,0.99559,0.5630,0.5630,0.00020,0.5630,0.00020,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,59,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,-0.200,0.08399,-0.08375,-0.03367,0.99592,0.5600,0.5600,0.00024,0.5600,0.00024,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,60,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,-0.100,0.08654,-0.08630,-0.01701,0.99612,0.5582,0.5582,0.00026,0.5582,0.00026,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,61,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,0.000,0.08739,-0.08716,0.00000,0.99619,0.5576,0.5576,0.00026,0.5576,0.00026,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,62,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,0.100,0.08654,-0.08630,0.01701,0.99612,0.5582,0.5582,0.00026,0.5582,0.00026,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,63,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,0.200,0.08399,-0.08375,0.03367,0.99592,0.5600,0.5600,0.00024,0.5600,0.00024,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,64,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,0.300,0.07980,-0.07954,0.04967,0.99559,0.5630,0.5630,0.00020,0.5630,0.00020,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,65,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,0.400,0.07404,-0.07377,0.06468,0.99518,0.5671,0.5671,0.00017,0.5671,0.00017,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,66,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,0.500,0.06684,-0.06657,0.07840,0.99470,0.5723,0.5723,0.00013,0.5723,0.00013,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,67,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,0.600,0.05833,-0.05806,0.09058,0.99420,0.5783,0.5783,0.00009,0.5783,0.00009,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,68,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,0.700,0.04868,-0.04843,0.10097,0.99371,0.5852,0.5852,0.00007,0.5852,0.00007,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,69,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,0.800,0.03807,-0.03786,0.10938,0.99328,0.5928,0.5928,0.00004,0.5928,0.00004,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,70,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,0.900,0.02673,-0.02657,0.11566,0.99293,0.6009,0.6009,0.00003,0.6009,0.00003,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,71,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,1.000,0.01485,-0.01476,0.11969,0.99270,0.6094,0.6094,0.00002,0.6094,0.00002,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,72,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,1.100,0.00269,-0.00267,0.12138,0.99260,0.6181,0.6181,0.00001,0.6181,0.00001,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,73,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,1.200,-0.00952,0.00947,0.12072,0.99264,0.6132,0.6132,0.00000,0.6132,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,74,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,1.300,-0.02155,0.02142,0.11772,0.99282,0.6046,0.6046,0.00000,0.6046,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,75,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,1.400,-0.03316,0.03297,0.11242,0.99311,0.5963,0.5963,0.00000,0.5963,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,76,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,1.500,-0.04412,0.04389,0.10493,0.99351,0.5885,0.5885,0.00000,0.5885,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,77,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,1.600,-0.05421,0.05395,0.09538,0.99398,0.5813,0.5813,0.00000,0.5813,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,78,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,1.700,-0.06325,0.06297,0.08396,0.99448,0.5748,0.5748,0.00000,0.5748,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,79,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,1.800,-0.07104,0.07077,0.07089,0.99497,0.5693,0.5693,0.00000,0.5693,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,80,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,1.900,-0.07745,0.07719,0.05641,0.99542,0.5647,0.5647,0.00000,0.5647,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,81,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.900,2.000,-0.08234,0.08209,0.04081,0.99579,0.5612,0.5612,0.00000,0.5612,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,82,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.800,-2.000,-0.08921,0.05444,-0.04429,0.99753,0.5563,0.5563,0.00000,0.5563,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,83,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.800,-1.900,-0.08391,0.05117,-0.06120,0.99681,0.5601,0.5601,0.00000,0.5601,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,84,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.800,-1.800,-0.07697,0.04690,-0.07688,0.99594,0.5650,0.5650,0.00000,0.5650,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,85,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.800,-1.700,-0.06852,0.04171,-0.09101,0.99498,0.5711,0.5711,0.00000,0.5711,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,86,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.800,-1.600,-0.05874,0.03572,-0.10334,0.99400,0.5780,0.5780,0.00000,0.5780,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,87,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.800,-1.500,-0.04780,0.02904,-0.11363,0.99310,0.5859,0.5859,0.00000,0.5859,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,88,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.800,-1.400,-0.03593,0.02181,-0.12170,0.99233,0.5943,0.5943,0.00000,0.5943,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,89,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.800,-1.300,-0.02335,0.01417,-0.12740,0.99175,0.6033,0.6033,0.00000,0.6033,0.00000,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,90,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.800,-1.200,-0.01032,0.00626,-0.13063,0.99141,0.6126,0.6126,0.00001,0.6126,0.00001,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,91,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.800,-1.100,0.00292,-0.00177,-0.13134,0.99134,0.6179,0.6179,0.00001,0.6179,0.00001,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,92,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.800,-1.000,0.01609,-0.00976,-0.12952,0.99153,0.6085,0.6085,0.00002,0.6085,0.00002,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,93,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.800,-0.900,0.02896,-0.01757,-0.12519,0.99198,0.5993,0.5993,0.00004,0.5993,0.00004,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,94,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.800,-0.800,0.04125,-0.02505,-0.11843,0.99265,0.5905,0.5905,0.00006,0.5905,0.00006,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,95,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.800,-0.700,0.05274,-0.03205,-0.10937,0.99348,0.5823,0.5823,0.00010,0.5823,0.00010,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.surface_probe.v1,surface_probe_schema_v1,96,terrain.heightmap_mesh,analytic_heightmap_with_scm_sinkage,-2.800,-0.600,0.06320,-0.03844,-0.09816,0.99443,0.5749,0.5749,0.00014,0.5749,0.00014,fallback_pychrono_unavailable
