schema_id,run_id,scenario_id,time_s,step_index,vehicle_model,terrain_component_id,driver_input_source,steering_cmd,throttle_cmd,braking_cmd,input_source,engine_speed_radps,engine_torque_Nm,gear,driveshaft_speed_radps,driveshaft_torque_Nm,drive_type,front_torque_fraction,brake_lock_state,source,wheel_torque_axle0_left_single_Nm,brake_torque_axle0_left_single_Nm,tire_Fx_axle0_left_single_N,tire_Fz_axle0_left_single_N,slip_ratio_axle0_left_single,contact_patch_axle0_left_single,steering_angle_axle0_left_single_rad,suspension_travel_axle0_left_single_m,wheel_load_axle0_left_single_N,wheel_torque_axle0_right_single_Nm,brake_torque_axle0_right_single_Nm,tire_Fx_axle0_right_single_N,tire_Fz_axle0_right_single_N,slip_ratio_axle0_right_single,contact_patch_axle0_right_single,steering_angle_axle0_right_single_rad,suspension_travel_axle0_right_single_m,wheel_load_axle0_right_single_N,wheel_torque_axle1_left_single_Nm,brake_torque_axle1_left_single_Nm,tire_Fx_axle1_left_single_N,tire_Fz_axle1_left_single_N,slip_ratio_axle1_left_single,contact_patch_axle1_left_single,steering_angle_axle1_left_single_rad,suspension_travel_axle1_left_single_m,wheel_load_axle1_left_single_N,wheel_torque_axle1_right_single_Nm,brake_torque_axle1_right_single_Nm,tire_Fx_axle1_right_single_N,tire_Fz_axle1_right_single_N,slip_ratio_axle1_right_single,contact_patch_axle1_right_single,steering_angle_axle1_right_single_rad,suspension_travel_axle1_right_single_m,wheel_load_axle1_right_single_N
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.200,10,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.05705,0.50455,0.00000,schema_fallback_driver,92.18183,58.02277,1,10.84492,185.67286,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,46.49766,0.00000,125.54368,922.00953,0.02018,patch.axle0_left_single,0.05705,0.03900,922.00953,46.33877,0.00000,125.11468,922.00953,0.02018,patch.axle0_right_single,0.05705,0.03344,922.00953,46.49766,0.00000,125.54368,877.73810,0.02018,patch.axle1_left_single,0.00000,0.03900,877.73810,46.33877,0.00000,125.11468,877.73810,0.02018,patch.axle1_right_single,0.00000,0.03344,877.73810
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.220,11,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.06263,0.51258,0.00000,schema_fallback_driver,92.50302,58.94618,1,10.88271,188.62776,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,47.24554,0.00000,127.56295,922.66691,0.02050,patch.axle0_left_single,0.06263,0.03898,922.66691,47.06834,0.00000,127.08452,922.66691,0.02050,patch.axle0_right_single,0.06263,0.03367,922.66691,47.24554,0.00000,127.56295,877.84625,0.02050,patch.axle1_left_single,0.00000,0.03898,877.84625,47.06834,0.00000,127.08452,877.84625,0.02050,patch.axle1_right_single,0.00000,0.03367,877.84625
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.240,12,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.06817,0.52049,0.00000,schema_fallback_driver,92.81940,59.85579,1,10.91993,191.53852,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,47.98256,0.00000,129.55290,923.31203,0.02082,patch.axle0_left_single,0.06817,0.03896,923.31203,47.78670,0.00000,129.02410,923.31203,0.02082,patch.axle0_right_single,0.06817,0.03389,923.31203,47.98256,0.00000,129.55290,877.92586,0.02082,patch.axle1_left_single,0.00000,0.03896,877.92586,47.78670,0.00000,129.02410,877.92586,0.02082,patch.axle1_right_single,0.00000,0.03389,877.92586
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.260,13,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.07367,0.52826,0.00000,schema_fallback_driver,93.13058,60.75042,1,10.95654,194.40135,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,48.70775,0.00000,131.51093,923.94384,0.02113,patch.axle0_left_single,0.07367,0.03891,923.94384,48.49292,0.00000,130.93090,923.94384,0.02113,patch.axle0_right_single,0.07367,0.03413,923.94384,48.70775,0.00000,131.51093,877.97678,0.02113,patch.axle1_left_single,0.00000,0.03891,877.97678,48.49292,0.00000,130.93090,877.97678,0.02113,patch.axle1_right_single,0.00000,0.03413,877.97678
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.280,14,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.07913,0.53590,0.00000,schema_fallback_driver,93.43615,61.62892,1,10.99249,197.21256,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,49.42018,0.00000,133.43449,924.56135,0.02144,patch.axle0_left_single,0.07913,0.03886,924.56135,49.18610,0.00000,132.80246,924.56135,0.02144,patch.axle0_right_single,0.07913,0.03436,924.56135,49.42018,0.00000,133.43449,877.99895,0.02144,patch.axle1_left_single,0.00000,0.03886,877.99895,49.18610,0.00000,132.80246,877.99895,0.02144,patch.axle1_right_single,0.00000,0.03436,877.99895
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.300,15,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.08455,0.54339,0.00000,schema_fallback_driver,93.73571,62.49015,1,11.02773,199.96849,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,50.11892,0.00000,135.32109,925.16356,0.02174,patch.axle0_left_single,0.08455,0.03879,925.16356,49.86532,0.00000,134.63637,925.16356,0.02174,patch.axle0_right_single,0.08455,0.03460,925.16356,50.11892,0.00000,135.32109,877.99232,0.02174,patch.axle1_left_single,0.00000,0.03879,877.99232,49.86532,0.00000,134.63637,877.99232,0.02174,patch.axle1_right_single,0.00000,0.03460,877.99232
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.320,16,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.08991,0.55072,0.00000,schema_fallback_driver,94.02887,63.33299,1,11.06222,202.66558,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,50.80306,0.00000,137.16826,925.74952,0.02203,patch.axle0_left_single,0.08991,0.03870,925.74952,50.52973,0.00000,136.43027,925.74952,0.02203,patch.axle0_right_single,0.08991,0.03484,925.74952,50.80306,0.00000,137.16826,877.95691,0.02203,patch.axle1_left_single,0.00000,0.03870,877.95691,50.52973,0.00000,136.43027,877.95691,0.02203,patch.axle1_right_single,0.00000,0.03484,877.95691
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.340,17,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.09523,0.55788,0.00000,schema_fallback_driver,94.31525,64.15635,1,11.09591,205.30034,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,51.47171,0.00000,138.97361,926.31827,0.02232,patch.axle0_left_single,0.09523,0.03860,926.31827,51.17846,0.00000,138.18184,926.31827,0.02232,patch.axle0_right_single,0.09523,0.03508,926.31827,51.47171,0.00000,138.97361,877.89278,0.02232,patch.axle1_left_single,0.00000,0.03860,877.89278,51.17846,0.00000,138.18184,877.89278,0.02232,patch.axle1_right_single,0.00000,0.03508,877.89278
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.360,18,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.10049,0.56486,0.00000,schema_fallback_driver,94.59449,64.95917,1,11.12876,207.86934,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,52.12399,0.00000,140.73478,926.86892,0.02259,patch.axle0_left_single,0.10049,0.03849,926.86892,51.81068,0.00000,139.88882,926.86892,0.02259,patch.axle0_right_single,0.10049,0.03532,926.86892,52.12399,0.00000,140.73478,877.80002,0.02259,patch.axle1_left_single,0.00000,0.03849,877.80002,51.81068,0.00000,139.88882,877.80002,0.02259,patch.axle1_right_single,0.00000,0.03532,877.80002
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.380,19,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.10569,0.57166,0.00000,schema_fallback_driver,94.86622,65.74039,1,11.16073,210.36926,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,52.75906,0.00000,142.44947,927.40059,0.02287,patch.axle0_left_single,0.10569,0.03837,927.40059,52.42557,0.00000,141.54903,927.40059,0.02287,patch.axle0_right_single,0.10569,0.03556,927.40059,52.75906,0.00000,142.44947,877.67878,0.02287,patch.axle1_left_single,0.00000,0.03837,877.67878,52.42557,0.00000,141.54903,877.67878,0.02287,patch.axle1_right_single,0.00000,0.03556,877.67878
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.400,20,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.11083,0.57825,0.00000,schema_fallback_driver,95.13009,66.49902,1,11.19178,212.79685,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,53.37609,0.00000,144.11545,927.91241,0.02313,patch.axle0_left_single,0.11083,0.03823,927.91241,53.02234,0.00000,143.16031,927.91241,0.02313,patch.axle0_right_single,0.11083,0.03579,927.91241,53.37609,0.00000,144.11545,877.52926,0.02313,patch.axle1_left_single,0.00000,0.03823,877.52926,53.02234,0.00000,143.16031,877.52926,0.02313,patch.axle1_right_single,0.00000,0.03579,877.52926
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.420,21,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.11590,0.58464,0.00000,schema_fallback_driver,95.38576,67.23406,1,11.22185,215.14899,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,53.97427,0.00000,145.73053,928.40358,0.02339,patch.axle0_left_single,0.11590,0.03809,928.40358,53.60022,0.00000,144.72060,928.40358,0.02339,patch.axle0_right_single,0.11590,0.03603,928.40358,53.97427,0.00000,145.73053,877.35169,0.02339,patch.axle1_left_single,0.00000,0.03809,877.35169,53.60022,0.00000,144.72060,877.35169,0.02339,patch.axle1_right_single,0.00000,0.03603,877.35169
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.440,22,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.12091,0.59082,0.00000,schema_fallback_driver,95.63289,67.94456,1,11.25093,217.42260,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,54.55282,0.00000,147.29262,928.87330,0.02363,patch.axle0_left_single,0.12091,0.03793,928.87330,54.15848,0.00000,146.22790,928.87330,0.02363,patch.axle0_right_single,0.12091,0.03626,928.87330,54.55282,0.00000,147.29262,877.14637,0.02363,patch.axle1_left_single,0.00000,0.03793,877.14637,54.15848,0.00000,146.22790,877.14637,0.02363,patch.axle1_right_single,0.00000,0.03626,877.14637
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.460,23,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.12585,0.59678,0.00000,schema_fallback_driver,95.87117,68.62961,1,11.27896,219.61476,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,55.11098,0.00000,148.79966,929.32083,0.02387,patch.axle0_left_single,0.12585,0.03776,929.32083,54.69639,0.00000,147.68026,929.32083,0.02387,patch.axle0_right_single,0.12585,0.03648,929.32083,55.11098,0.00000,148.79966,876.91362,0.02387,patch.axle1_left_single,0.00000,0.03776,876.91362,54.69639,0.00000,147.68026,876.91362,0.02387,patch.axle1_right_single,0.00000,0.03648,876.91362
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.480,24,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.13072,0.60251,0.00000,schema_fallback_driver,96.10028,69.28832,1,11.30592,221.72261,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,55.64803,0.00000,150.24969,929.74545,0.02410,patch.axle0_left_single,0.13072,0.03758,929.74545,55.21327,0.00000,149.07584,929.74545,0.02410,patch.axle0_right_single,0.13072,0.03670,929.74545,55.64803,0.00000,150.24969,876.65381,0.02410,patch.axle1_left_single,0.00000,0.03758,876.65381,55.21327,0.00000,149.07584,876.65381,0.02410,patch.axle1_right_single,0.00000,0.03670,876.65381
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.500,25,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.13551,0.60800,0.00000,schema_fallback_driver,96.31994,69.91982,1,11.33176,223.74343,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,56.16326,0.00000,151.64081,930.14648,0.02432,patch.axle0_left_single,0.13551,0.03739,930.14648,55.70846,0.00000,150.41283,930.14648,0.02432,patch.axle0_right_single,0.13551,0.03692,930.14648,56.16326,0.00000,151.64081,876.36735,0.02432,patch.axle1_left_single,0.00000,0.03739,876.36735,55.70846,0.00000,150.41283,876.36735,0.02432,patch.axle1_right_single,0.00000,0.03692,876.36735
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.520,26,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.14023,0.61325,0.00000,schema_fallback_driver,96.52985,70.52331,1,11.35645,225.67460,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,56.65600,0.00000,152.97119,930.52328,0.02453,patch.axle0_left_single,0.14023,0.03720,930.52328,56.18130,0.00000,151.68952,930.52328,0.02453,patch.axle0_right_single,0.14023,0.03712,930.52328,56.65600,0.00000,152.97119,876.05472,0.02453,patch.axle1_left_single,0.00000,0.03720,876.05472,56.18130,0.00000,151.68952,876.05472,0.02453,patch.axle1_right_single,0.00000,0.03712,876.05472
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.540,27,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.14486,0.61824,0.00000,schema_fallback_driver,96.72974,71.09800,1,11.37997,227.51361,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,57.12559,0.00000,154.23909,930.87524,0.02473,patch.axle0_left_single,0.14486,0.03699,930.87524,56.63122,0.00000,152.90429,930.87524,0.02473,patch.axle0_right_single,0.14486,0.03732,930.87524,57.12559,0.00000,154.23909,875.71639,0.02473,patch.axle1_left_single,0.00000,0.03699,875.71639,56.63122,0.00000,152.90429,875.71639,0.02473,patch.axle1_right_single,0.00000,0.03732,875.71639
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.560,28,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.14941,0.62298,0.00000,schema_fallback_driver,96.91936,71.64315,1,11.40228,229.25809,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,57.57143,0.00000,155.44286,931.20181,0.02492,patch.axle0_left_single,0.14941,0.03678,931.20181,57.05762,0.00000,154.05557,931.20181,0.02492,patch.axle0_right_single,0.14941,0.03752,931.20181,57.57143,0.00000,155.44286,875.35293,0.02492,patch.axle1_left_single,0.00000,0.03678,875.35293,57.05762,0.00000,154.05557,875.35293,0.02492,patch.axle1_right_single,0.00000,0.03752,875.35293
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.580,29,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.15388,0.62746,0.00000,schema_fallback_driver,97.09845,72.15805,1,11.42335,230.90577,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,57.99292,0.00000,156.58090,931.50246,0.02510,patch.axle0_left_single,0.15388,0.03656,931.50246,57.45996,0.00000,155.14189,931.50246,0.02510,patch.axle0_right_single,0.15388,0.03770,931.50246,57.99292,0.00000,156.58090,874.96490,0.02510,patch.axle1_left_single,0.00000,0.03656,874.96490,57.45996,0.00000,155.14189,874.96490,0.02510,patch.axle1_right_single,0.00000,0.03770,874.96490
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.600,30,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.15825,0.63167,0.00000,schema_fallback_driver,97.26679,72.64204,1,11.44315,232.45451,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,58.38953,0.00000,157.65172,931.77670,0.02527,patch.axle0_left_single,0.15825,0.03634,931.77670,57.83773,0.00000,156.16187,931.77670,0.02527,patch.axle0_right_single,0.15825,0.03787,931.77670,58.38953,0.00000,157.65172,874.55294,0.02527,patch.axle1_left_single,0.00000,0.03634,874.55294,57.83773,0.00000,156.16187,874.55294,0.02527,patch.axle1_right_single,0.00000,0.03787,874.55294
vehicle.subsystem_probe.v1,rover_vehicle_component_demo,vehicle_subsystem_schema_contract_v1,0.620,31,core_to_vehicle_upgrade_contract,terrain.core_ground,analytic_driver_profile,0.16254,0.63560,0.00000,schema_fallback_driver,97.42416,73.09447,1,11.46167,233.90232,schema_4wd_split,0.50000,false,fallback_vehicle_schema_only_pychrono_unavailable,58.76071,0.00000,158.65392,932.02411,0.02542,patch.axle0_left_single,0.16254,0.03611,932.02411,58.19045,0.00000,157.11421,932.02411,0.02542,patch.axle0_right_single,0.16254,0.03803,932.02411,58.76071,0.00000,158.65392,874.11769,0.02542,patch.axle1_left_single,0.00000,0.03611,874.11769,58.19045,0.00000,157.11421,874.11769,0.02542,patch.axle1_right_single,0.00000,0.03803,874.11769
