schema_id,run_id,sequence_id,component_id,catalog_component_id,layout_component_id,instance_id,owner_component_id,dynamics_dt_s,dynamics_step_index,sensor_name,sensor_type,sensor_update_rate_hz,frame_index,num_launches,frame_requested_time_s,collection_start_s,collection_end_s,lag_s,frame_ready_time_s,engine_id,device_id,max_engines,filter_chain_id,filter_list_locked,dropped_frame,drop_reason,stale_buffer,source
sensor.timing_schedule.v1,data_visualization_component_demo,sensor_layout_schema_v1,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.lidar.roof_xyzi,vehicle.chassis,0.02000,20,roof_lidar_xyzi,ChLidarSensor,10.0,4,5,0.40000,0.39000,0.41000,0.015,0.41500,schema_only_engine_0,schema_only_device_0,1,roof_lidar_xyzi_chain,true,true,sensor_module_unavailable_schema_only,false,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.timing_schedule.v1,data_visualization_component_demo,sensor_layout_schema_v1,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.lidar.roof_xyzi,vehicle.chassis,0.02000,25,roof_lidar_xyzi,ChLidarSensor,10.0,5,6,0.50000,0.49000,0.51000,0.015,0.51500,schema_only_engine_0,schema_only_device_0,1,roof_lidar_xyzi_chain,true,true,sensor_module_unavailable_schema_only,false,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.timing_schedule.v1,data_visualization_component_demo,sensor_layout_schema_v1,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.gps.roof,vehicle.chassis,0.02000,0,roof_gps,ChGPSSensor,20.0,0,1,0.00000,0.00000,0.00000,0.005,0.00500,schema_only_engine_0,schema_only_device_0,1,roof_gps_chain,true,true,sensor_module_unavailable_schema_only,false,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.timing_schedule.v1,data_visualization_component_demo,sensor_layout_schema_v1,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.gps.roof,vehicle.chassis,0.02000,2,roof_gps,ChGPSSensor,20.0,1,2,0.05000,0.05000,0.05000,0.005,0.05500,schema_only_engine_0,schema_only_device_0,1,roof_gps_chain,true,true,sensor_module_unavailable_schema_only,false,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.timing_schedule.v1,data_visualization_component_demo,sensor_layout_schema_v1,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.gps.roof,vehicle.chassis,0.02000,5,roof_gps,ChGPSSensor,20.0,2,3,0.10000,0.10000,0.10000,0.005,0.10500,schema_only_engine_0,schema_only_device_0,1,roof_gps_chain,true,true,sensor_module_unavailable_schema_only,false,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.timing_schedule.v1,data_visualization_component_demo,sensor_layout_schema_v1,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.gps.roof,vehicle.chassis,0.02000,8,roof_gps,ChGPSSensor,20.0,3,4,0.15000,0.15000,0.15000,0.005,0.15500,schema_only_engine_0,schema_only_device_0,1,roof_gps_chain,true,true,sensor_module_unavailable_schema_only,false,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.timing_schedule.v1,data_visualization_component_demo,sensor_layout_schema_v1,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.gps.roof,vehicle.chassis,0.02000,10,roof_gps,ChGPSSensor,20.0,4,5,0.20000,0.20000,0.20000,0.005,0.20500,schema_only_engine_0,schema_only_device_0,1,roof_gps_chain,true,true,sensor_module_unavailable_schema_only,false,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.timing_schedule.v1,data_visualization_component_demo,sensor_layout_schema_v1,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.gps.roof,vehicle.chassis,0.02000,12,roof_gps,ChGPSSensor,20.0,5,6,0.25000,0.25000,0.25000,0.005,0.25500,schema_only_engine_0,schema_only_device_0,1,roof_gps_chain,true,true,sensor_module_unavailable_schema_only,false,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.timing_schedule.v1,data_visualization_component_demo,sensor_layout_schema_v1,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.imu.roof,vehicle.chassis,0.02000,0,roof_imu,accelerometer_gyroscope_magnetometer,100.0,0,1,0.00000,0.00000,0.00000,0.002,0.00200,schema_only_engine_0,schema_only_device_0,1,roof_imu_chain,true,true,sensor_module_unavailable_schema_only,false,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.timing_schedule.v1,data_visualization_component_demo,sensor_layout_schema_v1,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.imu.roof,vehicle.chassis,0.02000,0,roof_imu,accelerometer_gyroscope_magnetometer,100.0,1,2,0.01000,0.01000,0.01000,0.002,0.01200,schema_only_engine_0,schema_only_device_0,1,roof_imu_chain,true,true,sensor_module_unavailable_schema_only,false,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.timing_schedule.v1,data_visualization_component_demo,sensor_layout_schema_v1,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.imu.roof,vehicle.chassis,0.02000,1,roof_imu,accelerometer_gyroscope_magnetometer,100.0,2,3,0.02000,0.02000,0.02000,0.002,0.02200,schema_only_engine_0,schema_only_device_0,1,roof_imu_chain,true,true,sensor_module_unavailable_schema_only,false,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.timing_schedule.v1,data_visualization_component_demo,sensor_layout_schema_v1,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.imu.roof,vehicle.chassis,0.02000,2,roof_imu,accelerometer_gyroscope_magnetometer,100.0,3,4,0.03000,0.03000,0.03000,0.002,0.03200,schema_only_engine_0,schema_only_device_0,1,roof_imu_chain,true,true,sensor_module_unavailable_schema_only,false,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.timing_schedule.v1,data_visualization_component_demo,sensor_layout_schema_v1,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.imu.roof,vehicle.chassis,0.02000,2,roof_imu,accelerometer_gyroscope_magnetometer,100.0,4,5,0.04000,0.04000,0.04000,0.002,0.04200,schema_only_engine_0,schema_only_device_0,1,roof_imu_chain,true,true,sensor_module_unavailable_schema_only,false,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.timing_schedule.v1,data_visualization_component_demo,sensor_layout_schema_v1,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.imu.roof,vehicle.chassis,0.02000,2,roof_imu,accelerometer_gyroscope_magnetometer,100.0,5,6,0.05000,0.05000,0.05000,0.002,0.05200,schema_only_engine_0,schema_only_device_0,1,roof_imu_chain,true,true,sensor_module_unavailable_schema_only,false,fallback_sensor_schema_only_pychrono_sensor_unavailable
